BRAND,DEVICE_LENGTH,DEVICE_MAJORITY_COMPOSITION,DEVICE_OUTPUT_TYPE,SENSOR_TYPE
Avago,51.467963388641856,Ceramic,Digital,Thermal
Hitachi Automotive Systems,58.67649076621431,Ceramic,Analog,Thermal
Hitachi Automotive Systems,52.16401989290016,Ceramic,Analog,Thermal
Delphi Automative,55.51722657200418,Ceramic,Analog,Thermal
Hitachi Automotive Systems,50.976523769666194,Ceramic,Digital,Thermal
Delphi Automative,59.17719486220046,Ceramic,Analog,Thermal
Avago,55.16108952434984,Ceramic,Analog,Thermal
Hitachi Automotive Systems,59.097100721536954,Ceramic,Digital,Thermal
Delphi Automative,54.08167412442925,Ceramic,Digital,Thermal
Delphi Automative,58.327570388144,Ceramic,Analog,Thermal
Delphi Automative,54.99356964441713,Ceramic,Analog,Thermal
Delphi Automative,54.15661767413084,Ceramic,Analog,Thermal
Delphi Automative,55.822830946363844,Ceramic,Digital,Thermal
Avago,50.46579480159826,Ceramic,Analog,Thermal
Delphi Automative,52.03076352215933,Ceramic,Digital,Thermal
Avago,53.58366176979827,Ceramic,Digital,Thermal
Delphi Automative,58.137695727839194,Ceramic,Analog,Thermal
Avago,58.161219676033646,Ceramic,Digital,Thermal
Delphi Automative,51.54496145566016,Ceramic,Analog,Thermal
Hitachi Automotive Systems,50.89609436691722,Ceramic,Digital,Thermal
Avago,53.75362860904711,Ceramic,Digital,Thermal
Delphi Automative,58.89553643032098,Ceramic,Analog,Thermal
Hitachi Automotive Systems,52.161182225297665,Ceramic,Analog,Thermal
Delphi Automative,59.030189008468156,Ceramic,Analog,Thermal
Avago,50.59382192704328,Ceramic,Digital,Thermal
Avago,54.877271611980106,Ceramic,Digital,Thermal
Avago,58.62426926050285,Ceramic,Digital,Thermal
Hitachi Automotive Systems,56.73642934151248,Ceramic,Analog,Thermal
Delphi Automative,54.93817271244389,Ceramic,Digital,Thermal
Avago,57.010945647841375,Ceramic,Analog,Thermal
Hitachi Automotive Systems,53.614017017761306,Ceramic,Analog,Thermal
Hitachi Automotive Systems,54.32577006603208,Ceramic,Analog,Thermal
Hitachi Automotive Systems,52.84799655077632,Ceramic,Digital,Thermal
Hitachi Automotive Systems,56.184607999404236,Ceramic,Analog,Thermal
Avago,58.183129437251466,Ceramic,Digital,Thermal
Delphi Automative,56.950715026887806,Ceramic,Digital,Thermal
Avago,54.609020185129836,Ceramic,Digital,Thermal
Delphi Automative,55.63408011817709,Ceramic,Analog,Thermal
Avago,53.6433090871605,Ceramic,Analog,Thermal
Hitachi Automotive Systems,51.34134849620344,Ceramic,Digital,Thermal
Delphi Automative,58.92134328402612,Ceramic,Digital,Thermal
Avago,57.288408628759406,Ceramic,Analog,Thermal
Delphi Automative,59.49667343708376,Ceramic,Digital,Thermal
Delphi Automative,55.60671235540758,Ceramic,Digital,Thermal
Hitachi Automotive Systems,50.50086382728997,Ceramic,Digital,Thermal
Hitachi Automotive Systems,54.0524455405866,Ceramic,Analog,Thermal
Hitachi Automotive Systems,57.95805537016848,Ceramic,Digital,Thermal
Delphi Automative,50.77055660069024,Ceramic,Digital,Thermal
Avago,54.388299927604876,Ceramic,Analog,Thermal
Avago,54.86881860984252,Ceramic,Digital,Thermal
Hitachi Automotive Systems,59.84426331835177,Ceramic,Digital,Thermal
